pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
715HR40-SG;757752;715HR40;SG;;
HDBFS-EQ;757772;HDBFS;EQ;;
MOMIDMTM-BL;757824;MOMIDMTM;BL;;
728HP47-SG;757830;728HP47;SG;;
RMDRIP-BL;757837;RMDRIP;BL;;
INDIQUBE-BL;757856;INDIQUBE;BL;;
EBGNG-EQ;757862;EBGNG;EQ;;
9AEL30-NE;757874;9AEL30;NE;;
EBGNG-BL;757894;EBGNG;BL;;
690BR35-SG;757911;690BR35;SG;;
712LTFL27-N0;757970;712LTFL27;N0;;
814KSFP36-N0;757997;814KSFP36;N0;;
721TS48-SG;758195;721TS48;SG;;
717RJ52-SG;758197;717RJ52;SG;;
799HFL27-N0;758212;799HFL27;N0;;
PARTH-ST;758220;PARTH;ST;;
BHADORA-SM;758225;BHADORA;SM;;
KRT-RR;758431;KRT;RR;;
KALPATARU-EQ;758558;KALPATARU;EQ;;
SHKSIL-SM;758568;SHKSIL;SM;;
717GA35A-SG;758585;717GA35A;SG;;
666NBRD28-N0;758642;666NBRD28;N0;;
MANUFGBEES-BL;758669;MANUFGBEES;BL;;
REGAAL-EQ;758680;REGAAL;EQ;;
REGAAL-BL;758683;REGAAL;BL;;
ARFIN-EQ;758700;ARFIN;EQ;;
LTGILTCASE-BL;758707;LTGILTCASE;BL;;
CLASSICEIL-SM;758736;CLASSICEIL;SM;;
72MH36-SG;758815;72MH36;SG;;
734CG40-SG;758817;734CG40;SG;;
705SFL27-N0;758829;705SFL27;N0;;
674MH29-SG;758843;674MH29;SG;;
SGMART-BL;758891;SGMART;BL;;
773RJ55-SG;758919;773RJ55;SG;;
763AP37-SG;758935;763AP37;SG;;
SML100CASE-EQ;758955;SML100CASE;EQ;;
765TPREL40-N0;758991;765TPREL40;N0;;
726TN35-SG;759027;726TN35;SG;;
732RJ35-SG;759028;732RJ35;SG;;
727MH36-SG;759029;727MH36;SG;;
744TS49-SG;759036;744TS49;SG;;
744TS51A-SG;759039;744TS51A;SG;;
GKENERGY-BL;759051;GKENERGY;BL;;
752ABCL30-N0;759069;752ABCL30;N0;;
965ISF28-N0;759100;965ISF28;N0;;
789GIL30-N0;759148;789GIL30;N0;;
677OR29-SG;759165;677OR29;SG;;
709PY31-SG;759168;709PY31;SG;;
715TN32-SG;759181;715TN32;SG;;
744JH41-SG;759191;744JH41;SG;;
745HR42-SG;759192;745HR42;SG;;
747WB46-SG;759195;747WB46;SG;;
DHARAN-BZ;759203;DHARAN;BZ;;
71HR33-SG;759217;71HR33;SG;;
735BTL27-N0;759271;735BTL27;N0;;
731BR45-SG;759309;731BR45;SG;;
737GA36-SG;759320;737GA36;SG;;
758BR43-SG;759327;758BR43;SG;;
744TS56-SG;759338;744TS56;SG;;
885TIAPL29-N0;759347;885TIAPL29;N0;;
ANANTAM-IV;759363;ANANTAM;IV;;
MOENERGY-BL;759376;MOENERGY;BL;;
118VCCL27B-N0;759394;118VCCL27B;N0;;
648GS2035-GS;759396;648GS2035;GS;;
SOLEX-EQ;759397;SOLEX;EQ;;
OMFREIGHT-BL;759414;OMFREIGHT;BL;;
GEMAROMA-BL;759464;GEMAROMA;BL;;
ELIQUID-BL;759468;ELIQUID;BL;;
685AS31A-SG;5881;685AS31A;SG;;
698PN33-SG;5885;698PN33;SG;;
PAYTM-EQ;6705;PAYTM;EQ;;
699MP41-SG;6750;699MP41;SG;;
